id;name;latitude;longitude;tel;address
12;Plateau sportif de GrammontTerrain 9, 10, 11;3.93392108647369;43.6136351580956;334 67 64 87 70;  avenue albert Einstein
30;Piscine M. SPILLIAERT;3.84314264933544;43.5982457955311;334 67 42 00 92;154 rue C.Desmoulins
2;Hôtel de Ville;3.8965223400675;43.5987299511122;334 67 34 70 00;1 place Georges Fręche
4;Centre municipal Garosud;3.85859224065433;43.5725732270947;334 67 34 74 62;3490 avenue Etienne Méhul
10589;Ecole maternelle LouisFiguier  Ecole élémentaire Paul Bert Victor Hugo;3.8818749427812;43.6040988665753;334 67 65 64 89;14 rue Farges
23;Maison pour tous  Mélina Mercouri;3.90814703437764;43.6135606367422;334 99 92 23 80;842 rue de la Vieille Poste
24;Cimetičre SaintEtienne;3.93489103090574;43.6158729699952;334 34 88 92 09;2 Rue Richard Wright
169;Cuisine Centrale;3.84157511981743;43.5994202550643;334 67 15 92 69;950  allée de la Martelle
170;Centre de Culture Contemporaine La Panacée;3.8782667806068;43.6125997375577;334 34 88 79 79;14  rue école de pharmacie
171;Ancien Hôtel de Ville (Poste de Police Municipale);3.88414277239073;43.6093009254496;334 67 34 71 45;1  place Françis Ponge
177;Centre de vaccination de la ville de montpellier;3.88644613599591;43.608650752262;334 67 02 26 63;2 place Paul Bec, les Echelles de la Ville
8985;Ecole maternelle SergueďProkofiev  Ecole élémentaire Jean Zay;3.89809208181167;43.6188883739332;334 67 02 66 35;85 avenue AlphonseJuin
8984;Ecole élémentaire Germaine Richier;3.85284162357418;43.5904588270256;334 67 99 25 90;99 Avenue Jean Prat
5787;Maison pour tous Marie Curie;3.83067333287118;43.6128786344574;334 67 75 10 34;13 allée Antonin Chauliac
12186;Eglise NotreDamedesTables;3.87957276977398;43.6120901983009;;43 Rue de l'Aiguillerie
12187;chapelle de la résurrection  Theatre de la vista;3.8577379112732;43.6060649637651;334 99 52 99 31;170 Rue Joachim du Bellay
12188;Halles Jacques Coeur;3.88939149901486;43.6092379806075;334 67 34 70 00; Boulevard d'Antigone
8986;Ecole élémentaire Winston Churchill  Ecole maternelle Marceline DesbordesValmore;3.85476904201268;43.5995832643803;334 67 42 54 64;424  460 rue du lavandin
8987;Ecole maternelle MariaCallas;3.84412603580079;43.6040816795899;334 67 75 56 55;843 rue de la Croix de Figuerolles
9384;Ecole élémentaire Jean Mermoz Ecole maternelle VascodeGama;3.89205258481797;43.6141016426732;334 67 65 04 66;196  156 rue de la Croix du Sud
9385;Ecole élémentaire Benoite Groult;3.83624344261754;43.6403091566517;334 67 60 17 80;99 rue de Puech Villa
9784;Ecole élémentaire Simon Bolivar;3.81773091991616;43.62331360185;334 67 75 34 69;300 avenue de Barcelone
9785;Ecole élémentaire André Boulloche;3.81964149146731;43.6280064369903;334 67 75 37 33;123 rue de Lausanne
9786;Ecole élémentaire Spinoza;3.83715271208757;43.6083804643777;334 67 75 34 63;110 rue ViolletLeDuc
9787;Ecole élémentaire Jean Moulin;3.89150298321939;43.6187145693709;334 67 72 68 17;20 boulevard Mounié
26;Piscine PITOT;3.87042726007263;43.6124525152634;334 67 52 58 89;230 place Jacques Mirouze
27;Piscine A. NAKACHE;3.90629920870056;43.6064088333911;334 67 22 57 05;237 route de Vauguičres
28;Piscine J. TARIS;3.90104521170055;43.6205269603349;334 67 79 03 11;67 rue L.Michel
29;Piscine J. VIVES;3.8725825201908;43.5878357209346;334 67 27 74 79;1933 avenue de Maurin
31;Piscine S. BERLIOUX;3.89523251192244;43.590433374266;334 67 65 38 71;551 rue Métairie de Saysset
9788;Ecole maternelle GenevičveBon  Ecole élémentaire Louis Armstrong;3.83898290012738;43.6174980846812;334 67 75 02 34;971 rue PaulRimbaud
9789;Ecole maternelle IndiraGandhi;3.81976504102354;43.6399339318858;334 67 75 35 45;380 rue PierreCardenal
10184;Ecole élémentaire Blaise Pascal  Ecole maternelle SarahBernhardt;3.90770092827438;43.6121879360203;334 67 22 11 72;100 rue Louis Lépine
10584;Ecole maternelle JamesJoyce;3.81791314285696;43.6281074894343;334 67 75 34 87;122 rue de Bologne
10585;Ecole élémentaire Léopold Sedar Senghor;3.81791532192905;43.6275077620567;334 67 75 34 79;26 rue de Bologne
10588;Ecole maternelle RobertSurcouf Ecole élémentaire Georges Simenon;3.8714435810918;43.5952872148722;334 67 42 45 23;215 boulevard PédrodeLuna
10984;Ecole maternelle JulesMichelet  Ecole élémentaire Joseph Delteil;3.83873856808814;43.6156815982488;334 67 10 06 05; Rue des Araucarias
10985;Ecole maternelle Mozart;3.86164748235704;43.6169568463152;334 67 63 15 61;60 avenue d'Assas
33;Piscine centre nautique neptune;3.81486877448227;43.6203748790079;; 
32;Piscine Olympique Antigone;3.89308121814824;43.6074454556324;;  
10986;Ecole élémentaire Jules Ferry;3.87456248737726;43.6361784369411;334 67 54 41 71;88 rue AntoineLaurent de Jussieu
11384;Ecole primaire OlympedeGouges;3.84625931433135;43.5909248113857;334 67 99 18 21;1375 rue de Bugarel
11385;Ecole élémentaire Julie Daubie;3.84232778339953;43.6195753592669;334 67 63 01 26;183 allée de l'Aqueduc
11784;Ecole maternelle PaulEluard  Ecole élémentaire Jean Macé;3.89640622981796;43.5929214621688;334 67 64 40 54;219  289 rue de Saint Hilaire 34000 Montpellier
11785;Multi accueil La Coupole;3.8909115988768;43.6078271911951;334 67 64 06 62;45 place Zeus
12184;Ecole élémentaire Léo Malet;3.8316349046765;43.6128240251644;334 67 75 46 45;5 allée Pierre Carabasse
12185;Salle Polyvalente Espace Jacques 1er d'Aragon;3.89812267566427;43.6044300520134;334 67 83 71 86;117 rue des états généraux
3;Zoo de Lunaret;3.87388024883192;43.6395873179815;334 67 54 45 20;50 avenue agropolis
5;Service surveillance voie publique (ASVP);3.87964813129678;43.6144971002654;334 99 58 80 34;8 avenue Louis Blanc
6;Hotel de Ville Central park;3.89553805176529;43.5993615952129;334 67 34 70 00;1 place Georges Fręche
7;Poste de police Ecusson Centre ville;3.87860752258093;43.6050174875771;334 67 34 70 89;19 bis rue durand
8;Unité Service Fourričre;3.85396085248997;43.587382545976;334 34 46 68 58;1945 avenue de toulouse
9;Poste de police Hotel de ville;3.89399058643915;43.5988579814707;334 67 34 88 30;789 chemin de moulares
10;Palais des sports PierredeCoubertin;3.81388667740295;43.638296406947;334 67 03 02 24;25 Rue de Gčnes
11;Gymnase François Spinosi;3.91771559166406;43.5989740313524;334 67 15 90 35;  Rue Pierre Gilles de Gennes
13;Hotel de Ville Niveau moins 1 Etat Major COC;3.89683159240325;43.5983721693041;334 67 34 59 25;1 place Georges Fręche
14;Gymnase Albert Batteux;3.85685693794324;43.5740760118369;334 34 88 76 28;150 rue FrançoisJosephGossec
15;Gymnase BernardJouanique;3.8471372225702;43.6209658101339;334 67 54 63 99;  rue JaquesDalcroze
16;Stade Municipal Sabathé;3.86890829584205;43.5980356410935;334 67 47 10 22;18 rue Mas de Lemasson
17;Salle de Sports Alain Achille;3.86929205080085;43.6186499959297;334 67 63 93 11;1 place MarcelGodechot
18;Gymnase Alain Le Hetet;3.90603797982283;43.6056441965939;334 67 82 76 71;237 route de Vauguičres
19;Maison pour tous   Albert Dubout;3.8825370479598;43.6263361536399;334 67 02 68 58;1071 avenue de la Justice de Castelnau
20;Maison pour tous Albert Camus;3.86999150922111;43.5968636380875;334 67 27 33 41;118 allée MauriceBonafos
21;Mairie annexe de proximité Mosson;3.81644666304565;43.6280352311183;334 67 34 71 73;111 place de Tipasa Mas de la Paillade
22;Maison pour tous François Villon;3.83948430685078;43.6153031160824;334 67 45 04 57;55 rue des araucarias
7785;Ecole  LudwigVanBeethoven;3.85685043630665;43.5849431576184;334 67 27 66 71;280 rue du mas Nouguier 34070 Montpellier
12584;Halles Castellane;3.87698855151732;43.6100748932829;334 67 34 70 00;  Rue de la Loge
12585;Halles des quatre saisons;3.81718369697817;43.62737098555;334 67 34 70 00;  Avenue d'Heidelberg
12586;Les Halles Laissac;3.87665572976354;43.6061966446183;334 67 34 70 00; Place Alexandre Laissac
12587;Salle GuillaumedeNogaret;3.87039545403024;43.6121743782168;334 67 34 71 33; rue Pitot
12588;Maison pour tous Georges Brassens;3.81801006500697;43.6421717315658;334 67 40 40 11; Place JacquesBrel
2578;Zoo de Lunaret;3.87322582931372;43.6403947990802;334 67 54 45 20;50 avenue agropolis
2579;Zoo de Lunaret;3.87324728568983;43.6403423899249;334 67 54 45 20;50 avenue agropolis
2580;DAE EXTERIEUR COMEDIE  COMMISSARIAT POLICE;3.88166695350884;43.6095475084495;334 67 34 70 26;2 Allée Jules Milhau
2581;Maison pour tous L'Escoutaďre;3.88435184442179;43.5954502975362;334 67 65 32 70;67 rue des Razeteurs
3379;Vestiaire/tribune CLAUDE BEAL;3.89668282061293;43.5911769531706;334 67 65 70 86;419 avenue du Dr Jacques Fourcade 34000 Montpellier
3779;Salle de sport Petit bard;3.83642322163493;43.6171136119684;334 67 45 21 89;1184 Rue Paul Rimbaud
3780;Gymnase François Rabelais;3.83249755768483;43.6262609664851;334 99 63 46 29;  Avenue de Malbosc
4181;Gymnase Marcel Cerdan;3.84723629666258;43.5995531419481;334 67 42 68 16;260 rue du PasDuLoup
4581;Gymnase Roger Couderc;3.86958483277162;43.5972023004916;334 67 42 61 77;  Avenue Villeneuve d'Angoulčme
4983;Gymnase Les Arts;3.88251807333355;43.6180224805144;334 67 79 76 77;  Rue de Substantion
5381;Gymnase Les Garrigues;3.81542066540721;43.6422140271842;334 67 61 94 85;  avenue du ComtédeNice
5382;Gymnase Bessičre;3.90819879603806;43.6121384500637;334 67 81 45 95;175 rue EdouardVillalonga
5782;Gymnase Arthur Rimbaud;3.82311817059698;43.616812102488;334 67 52 30 80;  Rue Mohamed V
5783;Maison Pour Tous JeanPierre Caillens;3.87701683401441;43.5810091230333;334 67 42 63 04;  Place de Tibériade
5784;Maison pour tous RosaLee Parks;3.83366483448939;43.6338355023598;334 67 66 34 99;10 rue FrançoisHenri d'Harcourt
5785;Maison pour tous Voltaire;3.88872580812943;43.6040683970361;334 99 52 68 45;3 Square Jean Monnet
5786;Maison pour tous Frédéric Chopin;3.88400486812068;43.6162308803064;334 34 46 67 87;1 rue du Marché aux Bestiaux
6184;Maison pour tous PaulEmileVictor;3.84255912284741;43.6244248427081;334 99 58 13 58;1247 avenue du Professeur Louis Ravas
6585;Maison pour tous Marcel Pagnol;3.85053159022006;43.6014566179891;334 67 42 98 51;64 route de Lavérune
6586;Maison pour tous Joseph Ricôme  Théŕtre G.Philippe;3.86626314548635;43.6083935346071;334 67 58 71 96;7 rue Pagčs
6587;Maison pour tous Michel Colucci;3.84033498625857;43.5936880350957;334 67 42 52 85;205 rue de Cheng Du
7384;Ecole maternelle FrançoisMitterrand;3.83185886973498;43.6301415539281;334 99 74 72 80;1330 rue Henri Lagattu
7784;Ecole élementaire Chengdu;3.9041728175217;43.5990169701507;334 67 22 64 20;74 74 rue Ray Charles
